Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
,,,,,,,,,,,,,,,,,,,"3,380,825","1,605,418","1,775,407","3,447,219","1,635,562","1,811,657","3,492,271","1,651,119","1,841,152","3,567,978","1,688,983","1,878,995"
,,,,,,,,,,,,,,,,,,,"3,344,794","1,587,614","1,757,180","3,340,042","1,580,539","1,759,503","3,405,526","1,610,004","1,795,522","3,451,069","1,626,011","1,825,058"
,,,,,,,,,,,,,,,,,,,"3,484,014","1,652,499","1,831,515","3,300,801","1,561,078","1,739,723","3,296,304","1,554,128","1,742,176","3,361,747","1,583,631","1,778,116"
,,,,,,,,,,,,,,,,,,,"2,571,100","1,210,525","1,360,575","3,434,771","1,623,133","1,811,638","3,254,306","1,533,377","1,720,929","3,251,249","1,527,330","1,723,919"
,,,,,,,,,,,,,,,,,,,"2,533,751","1,186,374","1,347,377","2,531,174","1,186,846","1,344,328","3,381,146","1,591,572","1,789,574","3,204,338","1,503,913","1,700,425"
,,,,,,,,,,,,,,,,,,,"2,464,843","1,147,960","1,316,883","2,490,999","1,161,520","1,329,479","2,488,370","1,161,878","1,326,492","3,324,662","1,558,707","1,765,955"
,,,,,,,,,,,,,,,,,,,"2,519,507","1,168,810","1,350,697","2,419,540","1,121,903","1,297,637","2,446,446","1,135,797","1,310,649","2,443,843","1,136,177","1,307,666"
,,,,,,,,,,,,,,,,,,,"2,194,211","1,010,349","1,183,862","2,468,839","1,139,872","1,328,967","2,372,281","1,094,802","1,277,479","2,399,286","1,108,765","1,290,521"
,,,,,,,,,,,,,,,,,,,"2,002,134","912,547","1,089,587","2,145,541","982,902","1,162,639","2,415,320","1,109,590","1,305,730","2,321,473","1,066,091","1,255,382"
,,,,,,,,,,,,,,,,,,,"1,889,901","856,949","1,032,952","1,953,194","885,423","1,067,771","2,094,035","954,182","1,139,853","2,357,801","1,077,532","1,280,269"
,,,,,,,,,,,,,,,,,,,"1,773,949","802,888","971,061","1,839,060","829,010","1,010,050","1,901,800","857,110","1,044,690","2,039,236","923,942","1,115,294"
,,,,,,,,,,,,,,,,,,,"1,694,182","758,003","936,179","1,721,269","774,181","947,088","1,785,775","800,006","985,769","1,847,158","827,432","1,019,726"
,,,,,,,,,,,,,,,,,,,"1,556,807","689,414","867,393","1,638,604","728,222","910,382","1,666,031","744,397","921,634","1,729,114","769,612","959,502"
,,,,,,,,,,,,,,,,,,,"1,481,179","648,875","832,304","1,500,111","659,423","840,688","1,580,281","697,195","883,086","1,607,240","713,055","894,185"
,,,,,,,,,,,,,,,,,,,"1,414,026","610,462","803,564","1,421,387","617,698","803,689","1,440,868","628,371","812,497","1,518,513","664,775","853,738"
,,,,,,,,,,,,,,,,,,,"1,263,371","539,533","723,838","1,350,788","577,997","772,791","1,359,236","585,560","773,676","1,378,494","596,081","782,413"
,,,,,,,,,,,,,,,,,,,"1,215,525","510,763","704,762","1,200,591","507,688","692,903","1,285,201","544,588","740,613","1,293,831","552,132","741,699"
,,,,,,,,,,,,,,,,,,,"1,153,165","476,692","676,473","1,148,785","477,523","671,262","1,135,811","475,160","660,651","1,216,640","510,165","706,475"
,,,,,,,,,,,,,,,,,,,"1,089,796","442,019","647,777","1,082,286","442,029","640,257","1,079,926","443,624","636,302","1,068,110","441,701","626,409"
,,,,,,,,,,,,,,,,,,,"1,035,631","410,825","624,806","1,014,952","406,272","608,680","1,009,519","406,959","602,560","1,008,215","408,980","599,235"
,,,,,,,,,,,,,,,,,,,"6,154,403","2,104,402","4,050,001","6,278,584","2,170,485","4,108,099","6,381,877","2,227,848","4,154,029","6,468,682","2,279,669","4,189,013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,37.7,36.4,39,37.8,36.5,39.1,37.9,36.6,39.2,38,36.8,
